topic,stance,argument,argument_sentiment
only teach abstinence for sex education in schools,CON,parents want their children to receive comprehensive sexuality education including condom use,1.0
make physical education compulsory,PRO,a lack of physical activity is thought to explain most cases of obesity,-1.0
build hydroelectric dams,CON,Hydropower can be intermittent,-1.0
build hydroelectric dams,CON,Dam failures are generally catastrophic,-1.0
unleash the free market,CON,government should intervene to prevent market failure,1.0
unleash the free market,CON,the government has a role to play in the economy,1.0
the monarchy,CON,Monarchy provides continuity and stability,1.0
national service,CON,adequate military strength could be maintained without having conscription,-1.0
subsidize the growing of tobacco,PRO,smoking tobacco is among the leading causes of many diseases,-1.0
wind power,PRO,Renewable energy is sustainable in its production,1.0
atheism,PRO,Religion is viewed as a human invention used to frighten people into following moral order,-1.0
governments should choose open source software,PRO,proprietary software may include defects or malicious features which would compromise sensitive information,-1.0
all nations have a right to nuclear weapons,PRO,nuclear weapons induce stability in all regimes,1.0
fund education using a voucher scheme,PRO,School voucher and education tax credit systems incentivize schools to increase accountability and school performance,1.0
multiculturalism,PRO,the community is enriched as difference accrues,1.0
subsidize poor communities,PRO,welfare has demonstrated some proven effects for helping impoverished families,1.0
democratic governments should require voters to present photo identification at the polling station,CON,Identification requirements may heighten the opportunities for confusion and voter intimidation,-1.0
the right to bear arms,PRO,increased gun ownership leads to higher levels of crime,-1.0
only teach abstinence for sex education in schools,CON,abstinence-only programs did not reduce the likelihood of pregnancy,-1.0
fund education using a voucher scheme,CON,public education would be destroyed by tuition vouchers,-1.0
subsidize poor communities,PRO,Higher levels of economic inequality tend to intensify social hierarchies and generally degrade the quality of social relations,-1.0
the sale of violent video games to minors,CON,There is no direct link between violent video games and their influence on children,1.0
partial birth abortions,CON,there is a fundamental right to privacy encompassing the decision about abortion,1.0
governments should choose open source software,PRO,the widely available code for open-source software makes it easier to identify security vulnerabilities,1.0
the blockade of Gaza,PRO,tragedies are completely inevitable if Israel does not listen to the callings of the international community to end the unacceptable and counter-productive blockade of Gaza,-1.0
multiculturalism,PRO,each ethnic and national group has the right to maintain and preserve its cultural distinction and integrity,
the sale of violent video games to minors,PRO,A high degree of relationship between violent games and youth violence has been indicated,-1.0
only teach abstinence for sex education in schools,CON,"abstinence-only education is motivated by religious teachings, which have no place in the classroom",-1.0
the blockade of Gaza,PRO,Israeli blockade in Gaza is a violation of international law,-1.0
multiculturalism,PRO,Peoples have the right to the dignity and diversity of their cultures,1.0
build the Keystone XL pipeline,PRO,"Pipelines are generally the most economical way to transport large quantities of oil, refined oil products or natural gas over land",1.0
blasphemy,CON,The offence of blasphemous libel is believed by some to be contrary to the freedom of speech,-1.0
gambling,PRO,Gamblers may suffer from depression and bankruptcy,-1.0
the one-child policy of the republic of China,CON,Coercive sterilization to enforce the one child policy has occurred in China,-1.0
build the Keystone XL pipeline,CON,The pipeline would present significant adverse effects to certain cultural resources,-1.0
barrier methods of contraception,CON,Persons use condoms to protect against the spread of infections,1.0
unleash the free market,PRO,corrective measures) reduce the overall efficiency of the market economy,-1.0
atheism,CON,the universe's order and complexity are best explained by reference to a creator God,1.0
the one-child policy of the republic of China,CON,China's gender imbalance is further increased by the One Child Policy,-1.0
atheism,PRO,the need for explaining life and death can be met by science and philosophy,1.0
only teach abstinence for sex education in schools,CON,Sex education in school makes it easier for parents to talk to their adolescents about sex,1.0
endangered species,CON,The very fact that a species is near extinction implies that its final demise will have negligible impact,
subsidize poor communities,PRO,welfare empowers individuals,1.0
build hydroelectric dams,PRO,Integrating ever-higher levels of renewables is being successfully demonstrated in the real world,1.0
